instantane_utc,stations,part_vides,part_pleines
2026-09-22 15:57:32,52,0.1346,0.0
2026-09-22 15:58:32,52,0.1346,0.0
2026-09-22 15:59:32,52,0.1346,0.0
2026-09-22 16:00:33,52,0.1346,0.0
2026-09-22 16:01:33,52,0.1346,0.0
2026-09-22 16:02:33,52,0.1346,0.0
2026-09-22 16:03:33,52,0.1154,0.0
2026-09-22 16:04:34,52,0.1154,0.0
2026-09-22 16:05:34,52,0.1154,0.0
2026-09-22 16:06:34,52,0.1154,0.0
2026-09-22 16:07:34,52,0.1154,0.0
2026-09-22 16:08:35,52,0.1154,0.0
2026-09-22 16:09:35,52,0.1154,0.0
2026-09-22 16:10:35,52,0.1154,0.0
2026-09-22 16:11:35,52,0.1154,0.0
2026-09-22 16:12:36,52,0.1154,0.0
2026-09-22 16:13:36,52,0.1154,0.0
2026-09-22 16:14:36,52,0.1154,0.0
2026-09-22 16:15:37,52,0.1154,0.0
2026-09-22 16:16:37,52,0.1154,0.0
2026-09-22 16:17:37,52,0.1154,0.0
2026-09-22 16:18:37,52,0.1154,0.0
2026-09-22 16:19:37,52,0.1154,0.0
2026-09-22 16:20:38,52,0.1154,0.0
2026-09-22 16:21:38,52,0.1154,0.0
2026-09-22 16:22:38,52,0.1154,0.0
2026-09-22 16:23:38,52,0.1154,0.0
2026-09-22 16:24:39,52,0.1154,0.0
2026-09-22 16:25:39,52,0.1154,0.0
2026-09-22 16:26:39,52,0.1154,0.0
2026-09-22 16:27:40,52,0.1154,0.0
2026-09-22 16:28:40,52,0.1346,0.0
2026-09-22 16:29:40,52,0.1346,0.0
2026-09-22 16:30:40,52,0.1346,0.0
2026-09-22 16:31:40,52,0.1346,0.0
2026-09-22 16:32:41,52,0.1346,0.0
2026-09-22 16:33:41,52,0.1346,0.0
2026-09-22 16:34:42,52,0.1346,0.0
2026-09-22 16:35:42,52,0.1346,0.0
2026-09-22 16:36:42,52,0.1346,0.0
2026-09-22 16:37:43,52,0.1346,0.0
2026-09-22 16:38:43,52,0.1346,0.0
2026-09-22 16:39:43,52,0.1346,0.0
2026-09-22 16:40:43,52,0.1346,0.0
2026-09-22 16:41:43,52,0.1346,0.0
2026-09-22 16:42:44,52,0.1346,0.0
